Symbol,Side,SL,TP,Open Time,Open Price,Close Time,Close Price,PnL,Lots,Gain,Day of the week,Session,RR Ratio,Pips,Hour_Decimal,Losing_Streak,Equity_Curve,Equity_Curve_Delayed,Drawdown_State,Lot_Deviation,Prev_Close_Time,Revenge_Timer,Is_High_Risk,Real_Equity,Shadow_Equity
GBPUSD,SELL,1.26691,1.26589,2025-01-16 09:03:00,1.26661,2025-01-16 09:04:00,1.26691,18.0,0.3,0.16,Tuesday,LND,2.4,7.2,9.05,0,97602.0,97584.0,7.415559772296016,-1.146145837823905,2025-01-16 09:04:00,-1.0,0,97602.0,103693.0
GBPUSD,BUY,1.22049,1.22222,2025-01-16 09:22:00,1.22069,2025-01-16 09:22:00,1.22049,-400.0,20.0,-0.46,Thursday,London,8.68,2.0,9.366666666666667,0,97202.0,97602.0,7.398481973434536,0.8815164154963572,2025-01-16 09:04:00,18.0,1,97202.0,103293.0
GBPUSD,BUY,1.21999,1.222,2025-01-16 09:32:00,1.2204,2025-01-16 09:32:00,1.21999,-820.0,20.0,-0.88,Thursday,London,5.92,4.1,9.533333333333333,1,96382.0,97202.0,7.777988614800758,0.7957193232899825,2025-01-16 09:22:00,10.0,1,96382.0,103293.0
GBPUSD,SELL,1.21991,1.21805,2025-01-16 09:52:00,1.21961,2025-01-16 09:52:00,1.21991,-600.0,20.0,-0.66,Thursday,London,6.09,3.0,9.866666666666667,2,95782.0,96382.0,8.555977229601517,0.7957193232899825,2025-01-16 09:32:00,20.0,1,95782.0,103293.0
GBPUSD,SELL,1.21999,1.21809,2025-01-16 10:01:00,1.21969,2025-01-16 10:01:00,1.21999,-620.0,20.0,-0.68,Thursday,London,6.0,3.0,10.016666666666667,3,95162.0,95782.0,9.125237191650854,0.7957193232899825,2025-01-16 09:52:00,9.0,1,95162.0,103293.0
GBPUSD,BUY,1.21826,1.22053,2025-01-17 08:25:00,1.2186,2025-01-17 08:25:00,1.21826,-440.0,20.0,-0.5,Friday,London,6.03,3.4,8.416666666666666,4,94722.0,95162.0,9.7134724857685,0.7151254308671373,2025-01-16 10:01:00,1344.0,1,94722.0,103293.0
GBPUSD,SELL,1.26806,1.26481,2025-01-18 13:10:00,1.26785,2025-01-18 13:11:00,1.26806,-21.0,1.0,-0.28,Thursday,NY,0.0,-2.1,13.166666666666666,5,94701.0,94722.0,10.130929791271347,-1.312842208905342,2025-01-17 08:25:00,1725.0,1,94701.0,103293.0
GBPUSD,SELL,1.2675,1.27077,2025-01-19 13:00:00,1.2678,2025-01-19 13:01:00,1.2675,-28.0,1.0,-0.35,Friday,LND,0.0,-2.8,13.0,6,94673.0,94701.0,10.150853889943074,-1.1805770352080132,2025-01-18 13:11:00,1429.0,1,94673.0,103293.0
GBPUSD,SELL,1.26795,1.27145,2025-01-19 13:02:00,1.26815,2025-01-19 13:03:00,1.26795,-20.0,1.0,-0.27,Friday,LND,0.0,-2.0,13.033333333333333,7,94653.0,94673.0,10.17741935483871,-1.1805770352080132,2025-01-19 13:01:00,1.0,1,94653.0,103293.0
GBPUSD,BUY,1.26984,1.27314,2025-01-22 09:42:00,1.27014,2025-01-22 09:43:00,1.26984,-30.0,1.0,-0.37,Monday,LND,0.0,-3.0,9.7,8,94623.0,94653.0,10.19639468690702,-1.1805770352080132,2025-01-19 13:03:00,4119.0,1,94623.0,103293.0
