Date,Symbol,PnL_Saved,Risk_Score,Reason
2025-09-25 10:09:00,GBPUSD,2.6,95.7,"Losing_Streak: 0.12, RR Ratio: 0.09, Revenge_Timer: 0.06"
2025-09-27 09:43:00,GBPUSD,600.0,85.5,"Losing_Streak: 0.11, Drawdown_State: 0.08, RR Ratio: 0.08"
2025-09-27 09:43:00,GBPUSD,600.0,96.0,"Losing_Streak: 0.13, RR Ratio: 0.08, Drawdown_State: 0.07"
2025-09-27 09:43:00,GBPUSD,3.0,96.0,"Losing_Streak: 0.12, RR Ratio: 0.09, Revenge_Timer: 0.06"
2025-09-27 09:45:00,GBPUSD,500.0,84.4,"Losing_Streak: 0.14, Revenge_Timer: 0.08, Drawdown_State: 0.07"
2025-09-27 09:45:00,GBPUSD,2.5,95.0,"Losing_Streak: 0.12, RR Ratio: 0.09, Revenge_Timer: 0.06"
2025-09-27 09:45:00,GBPUSD,500.0,79.5,"Losing_Streak: 0.14, RR Ratio: -0.07, Drawdown_State: 0.05"
2025-10-01 08:45:00,GBPUSD,-0.0,39.0,"Losing_Streak: -0.22, Drawdown_State: 0.12, RR Ratio: -0.09"
2025-10-01 08:45:00,GBPUSD,0.1,31.8,"Losing_Streak: -0.30, Drawdown_State: 0.10, RR Ratio: -0.09"
2025-10-02 09:03:00,GBPUSD,3.1,76.3,"RR Ratio: -0.10, Losing_Streak: 0.08, Drawdown_State: 0.08"
2025-10-02 09:03:00,GBPUSD,3.0,78.5,"Losing_Streak: 0.14, RR Ratio: -0.11, Drawdown_State: 0.08"
2025-10-02 10:02:00,GBPUSD,3.1,86.9,"Losing_Streak: 0.11, Drawdown_State: 0.10, RR Ratio: 0.09"
