Date,Symbol,PnL_Saved,Risk_Score,Reason
2025-10-02 10:02:00,GBPUSD,3.0,95.7,"Losing_Streak: 0.11, RR Ratio: 0.09, Drawdown_State: 0.07"
2025-10-02 10:12:00,GBPUSD,2.0,96.5,"Losing_Streak: 0.10, RR Ratio: 0.09, Revenge_Timer: 0.07"
2025-10-02 10:12:00,GBPUSD,1.9,96.2,"Losing_Streak: 0.11, RR Ratio: 0.09, Drawdown_State: 0.07"
2025-10-02 10:15:00,GBPUSD,2.6,97.0,"Losing_Streak: 0.10, RR Ratio: 0.09, Revenge_Timer: 0.08"
2025-10-09 10:40:00,GBPUSD,620.0,77.5,"Losing_Streak: -0.23, Drawdown_State: 0.15, RR Ratio: 0.14"
2025-10-09 10:40:00,GBPUSD,600.0,94.2,"RR Ratio: 0.09, Drawdown_State: 0.09, Revenge_Timer: 0.09"
2025-10-09 10:41:00,GBPUSD,420.0,94.2,"RR Ratio: 0.09, Drawdown_State: 0.09, Revenge_Timer: 0.09"
2025-10-17 09:00:00,GBPUSD,300.0,78.2,"Drawdown_State: 0.09, Revenge_Timer: -0.09, Losing_Streak: 0.08"
2025-10-17 09:00:00,GBPUSD,290.0,93.8,"Losing_Streak: 0.10, RR Ratio: 0.09, Drawdown_State: 0.07"
2025-10-22 08:59:00,GBPUSD,600.0,92.1,"Revenge_Timer: 0.10, RR Ratio: 0.08, Drawdown_State: 0.08"
2025-10-22 08:59:00,GBPUSD,580.0,92.2,"Revenge_Timer: 0.09, RR Ratio: 0.08, Drawdown_State: 0.08"
2025-10-24 10:07:00,GBPUSD,860.0,86.4,"Losing_Streak: 0.11, Drawdown_State: 0.09, RR Ratio: 0.09"
2025-10-24 10:07:00,GBPUSD,800.0,95.5,"Losing_Streak: 0.11, RR Ratio: 0.09, Drawdown_State: 0.06"
2025-10-24 10:07:00,GBPUSD,880.0,95.5,"Losing_Streak: 0.12, RR Ratio: 0.09, Drawdown_State: 0.06"
